MAPA	CVE_ENT	NOM_ENT	NOM_ABR	CVE_MUN	NOM_MUN	CVE_LOC	NOM_LOC	AMBITO	LATITUD	LONGITUD	LAT_DECIMAL	LON_DECIMAL	ALTITUD	CVE_CARTA	POB_TOTAL	POB_MASCULINA	POB_FEMENINA	TOTAL DE VIVIENDAS HABITADAS
"010020183"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0183"	"Ave María [Pozo]"	"R"	"22°15´42.820"N"	"102°02´19.034"W"	"22.26189400"	"-102.03862000"	"2033"	"F13B79"	"0"	"0"	"0"	"0"
"010020184"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0184"	"Pozo de Carlos Arenas"	"R"	"22°16´53.268"N"	"102°02´15.710"W"	"22.28146300"	"-102.03769700"	"2032"	"F13B79"	"0"	"0"	"0"	"0"
"010020185"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0185"	"Pozo de Delfino Velázquez"	"R"	"22°16´22.643"N"	"102°02´52.212"W"	"22.27295600"	"-102.04783600"	"2046"	"F13B79"	"0"	"0"	"0"	"0"
"010020186"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0186"	"Pozo Francisco Guel Jiménez [Unidad Lechera]"	"R"	"22°14´15.395"N"	"102°01´28.575"W"	"22.23760900"	"-102.02460400"	"2022"	"F13B89"	"6"	"3"	"3"	"3"
"010020187"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0187"	"Pozo la Congoja [Sector]"	"R"	"22°09´14.004"N"	"102°04´37.362"W"	"22.15389000"	"-102.07704400"	"2040"	"F13B89"	"-"	"-"	"-"	"-"
"010020188"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0188"	"4 Milpas [Rancho]"	"R"	"22°07´06.112"N"	"102°02´24.386"W"	"22.11836400"	"-102.04010700"	"2018"	"F13B89"	"0"	"0"	"0"	"0"
"010020189"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0189"	"Rancho Alvarado"	"R"	"22°15´32.022"N"	"102°02´00.328"W"	"22.25889500"	"-102.03342400"	"2028"	"F13B79"	"46"	"22"	"24"	"13"
"010020190"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0190"	"Pajaritos [Rancho]"	"R"	"22°16´00.946"N"	"102°05´10.469"W"	"22.26692900"	"-102.08624100"	"2121"	"F13B79"	"0"	"0"	"0"	"0"
"010020191"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0191"	"Rancho de Fátima"	"R"	"22°16´23.241"N"	"102°03´05.164"W"	"22.27312200"	"-102.05143400"	"2051"	"F13B79"	"0"	"0"	"0"	"0"
"010020192"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0192"	"Don Everardo [Rancho]"	"R"	"22°03´34.018"N"	"102°05´25.368"W"	"22.05944900"	"-102.09038000"	"1970"	"F13B89"	"4"	"*"	"*"	"1"
